Epoch, LearningRate, WeightDecay,Loss, LossCount, LossCam, TotalCount, Difference,Overestimate, Underestimate, mae, mse
1,0.001,0.01,tensor(31.0662, device='cuda:0'),tensor(24.5595, device='cuda:0'),tensor(6.5067, device='cuda:0'),5025.0,250.5951953125,0.0,250.5951953125,22.43061065673828,564.5660400390625,
2,0.001,0.01,tensor(24.4528, device='cuda:0'),tensor(23.6851, device='cuda:0'),tensor(0.7677, device='cuda:0'),5025.0,241.85111328125,0.0,241.85111328125,20.272865295410156,463.9613342285156,
3,0.001,0.01,tensor(18.6534, device='cuda:0'),tensor(9.2595, device='cuda:0'),tensor(9.3938, device='cuda:0'),5025.0,97.49279296875,7.916883544921875,89.5758984375,13.890110969543457,231.4669952392578,
4,0.001,0.01,tensor(13.8205, device='cuda:0'),tensor(10.7838, device='cuda:0'),tensor(3.0368, device='cuda:0'),5025.0,113.375888671875,22.7397119140625,90.636171875,12.718488693237305,175.6341552734375,
5,0.001,0.01,tensor(12.3777, device='cuda:0'),tensor(8.0361, device='cuda:0'),tensor(4.3415, device='cuda:0'),5025.0,89.039912109375,20.85482177734375,68.1850732421875,11.662220001220703,167.0629119873047,
6,0.001,0.01,tensor(10.6610, device='cuda:0'),tensor(6.7675, device='cuda:0'),tensor(3.8936, device='cuda:0'),5025.0,76.262236328125,21.1622607421875,55.099970703125,9.723063468933105,131.29458618164062,
7,0.001,0.01,tensor(7.6469, device='cuda:0'),tensor(5.1336, device='cuda:0'),tensor(2.5133, device='cuda:0'),5025.0,61.6602197265625,24.28775146484375,37.37248046875,4.441731929779053,27.000957489013672,
8,0.001,0.01,tensor(7.4269, device='cuda:0'),tensor(4.8844, device='cuda:0'),tensor(2.5425, device='cuda:0'),5025.0,59.44177734375,19.16560791015625,40.276171875,5.955143928527832,43.70548629760742,
9,0.001,0.01,tensor(7.7886, device='cuda:0'),tensor(6.0095, device='cuda:0'),tensor(1.7792, device='cuda:0'),5025.0,69.8167626953125,22.85689697265625,46.9598681640625,11.05595874786377,170.73403930664062,
10,0.001,0.01,tensor(6.3254, device='cuda:0'),tensor(5.2356, device='cuda:0'),tensor(1.0898, device='cuda:0'),5025.0,61.5319482421875,22.0401318359375,39.49180908203125,4.324702262878418,24.016326904296875,
11,0.000999,0.01,tensor(6.7788, device='cuda:0'),tensor(5.5809, device='cuda:0'),tensor(1.1980, device='cuda:0'),5025.0,65.5150390625,25.81585693359375,39.69918212890625,5.800449371337891,58.04534912109375,
12,0.000999,0.01,tensor(7.3913, device='cuda:0'),tensor(5.2528, device='cuda:0'),tensor(2.1385, device='cuda:0'),5025.0,61.5214306640625,17.278173828125,44.2432568359375,3.9835762977600098,25.575326919555664,
